cc_number|cc_expiry|cc_provider|cc_ccv|cc_card_type|client_id|token
630476217397|12/21|Maestro|643|Gold|5733f031-fdbc-4aa5-9429-4e3167fd18ce|fd5fff779dc645c987b85714585f70826b2b946944eb168199e09c815010eddf
30250411954345|12/16|Diners Club / Carte Blanche|928|Platinum|c7813933-3512-4928-9b3f-1a432c96fe35|0470fea9e92956032dbf28c82a6aaf9575820583eb44a5e999be090a0aade267
4080915137675778817|04/18|Maestro|037|Platinum|d6cbe0b1-82f2-47cb-aafc-2bfeba79ef7f|11737227709874ac92799fb44efd552a893c39c07eceea114083c0250ce3d82e
4840851998774253|04/20|JCB 15 digit|487|Gold|e1467a76-aabb-4e05-ab48-269cf4ae10a9|d5001b06ca7dc3675fceb8147b7e2a4c74359893a00cd968b89587606fabe1a4
4435858198552992|05/24|Diners Club / Carte Blanche|241|Platinum|7fea1753-7ef5-4d5a-8e3c-5bb3350d6ec5|bb3a1b23f547e22e5812ff60f3a610168d96cb68ec8cf26bc9cf78ba6a641a12
578211559856|02/21|Maestro|378|Gold|cb09e98e-9be9-49b2-94f6-4ffd62c1a7eb|7a8c63ce0c0232dab10c17973854f60586a3a8fc3bc6ad4a01307456aba6248c
060446651634|11/21|JCB 16 digit|9613|Gold|de737090-14f3-452d-94ad-5bc4b25c9d85|c532601ae0f3d09c7d75f6001c5aa1de6566ec54edb729a1c6e159765a6a8526
4170619975722|07/32|Mastercard|466|Classic|7be86024-0b18-4fba-888c-e0de55c5367a|4292ee1719d31ad801735371730cd0a37e2c656453807427bb0b32ec1bbb05a0
30238649158375|08/31|VISA 19 digit|457|Classic|ac10aa3c-da0c-4323-aa11-ecd9d373b88e|de9c879b40abac853a99cbb442b59498833bcf32423256ad0c356ee6ca5bfa78
30126361315655|04/13|Discover|109|Gold|84603c4b-7c8c-4294-b08b-d654354792d2|f6ce2154d77d5d95b7d39b4aedd4e5329a1c09549faa7460c44c7331cac655c9
3551601159954736|07/30|JCB 16 digit|221|Gold|a3ea43c5-a54d-4584-922b-a12e439732bc|20dc33c098b1b2e6184f33306d325bce137bba11f46bf37fed1b0c35c6eebe17
30029135170234|12/16|Diners Club / Carte Blanche|640|Platinum|6d5ba320-516a-4603-a579-2748a37f9c2d|8ba85fa66b89f37277e62b6bb6bc588b15eb4fbf486346accf53b7407e3062ec
180096090169228|07/31|Discover|6975|Platinum|fa673945-8247-482c-abf5-13f56caffa0f|43bdefb93002cd9c2258b275ce883c88164290f5d2845e6d16ba753ef1c1389e
568916707405|02/33|Mastercard|765|Platinum|0bf2cd85-d4db-4835-a87b-d5e4f7249029|1f82b57d2086ce98ccb433f91b3ad5d77f11e5b2d29ee89bf865be1ee0e2a31c
2550183975343207|05/20|Discover|868|Platinum|108e210f-ea85-4e17-b2ac-fbdc6b14e68a|0af17b996672a0b844d3613c66ace81bc162b017592902e2ba4473f59041d9e6
2652057092704151|01/26|VISA 16 digit|819|Gold|d875e8f5-b794-4d85-a5eb-2192ad85068c|6652b183b0a2953f2ed8d72e860089b7485acba858bba7fff3aead13fc244d20
213141682085613|09/19|JCB 16 digit|841|Classic|ad8e06f7-399f-48da-b30b-3dad5e04b936|5996f8e8d3e1b08e65b472b80bdb15afc0e090c0b0b6850b0129eb43ece9268e
180054000916857|04/16|Diners Club / Carte Blanche|662|Gold|8f5a1bea-572a-43b2-9d36-6d82129fc6e0|d35e22a97a73d63eb2d0d2f59ed730fb525e99b30c721202842b01b19d610f31
4907412800429618|07/32|JCB 16 digit|118|Classic|4e3a08aa-5726-4332-b54c-7850f6a14ca6|a958a378522214ff8903b93f80bff4de0bf4a4a1cf41833618341d45181759e7
4793603052161781586|12/24|American Express|000|Gold|7999e995-252c-4161-ae8e-df3cfa07aaba|cc3d5a6dcf97334b0cd4c1459bff7824c3db628652566118b88d13dd1da9704c
213179533075995|05/16|VISA 19 digit|504|Classic|3ae488b8-4c57-4441-aa43-42f33adb4a07|019ba5342b8b9086a8cdcb4171c8555ff53859ddaed654a6e1e8a3c79b535e19
4601210284198231|02/22|VISA 19 digit|574|Platinum|fa377d37-b892-483b-856e-91e57ef90ac4|39a38c4492148f6f7dc779b9c8843899b8f3f1dbdcdea6c905130ea58df2f463
3562570204367102|11/22|JCB 16 digit|145|Platinum|b7ad0b8e-c21d-4464-b052-c3d6138aa3a8|6f73d5959a9cf684e67321e7a0aa8dc505ab8928a84139759e3aef69b354da8f
2250391192730576|04/26|VISA 16 digit|414|Gold|e9636caa-74c3-4bb7-b6fc-9a376359a76d|b4d2478d788ddb36ff5b383df04a707228a67ec791d9c6a131a367c3b52ab1bd
2717955035208284|10/24|VISA 16 digit|817|Platinum|a48f0346-dd92-456b-967d-09bc345f8573|809f8b17758ffecc9ae5ce0e5e91af203c6acc8ea762a7d037df50407ecc08be
38622837845301|09/15|VISA 19 digit|334|Platinum|25fe54b2-4fe2-408b-8341-b9ff872b52e8|a741300fbf788e6d865246b14e9a601ee78b66f43670340d859ab52b768623cd
5490304648040451|06/32|Discover|575|Gold|7efb0f92-3425-4236-8fd1-d4e3e2bd2364|e6aa6be89d9fa37abb34256061ef41a6326b21a16c6b648fbb2a272d5c8b0aea
501884593341|01/26|JCB 15 digit|616|Platinum|5307aee2-d74f-4395-b198-dfdb69136887|f1a41c7bbede20a4375f53a80af8050300737d26409488ae3bff8df4248e14ae
2273499365004464|01/25|Mastercard|830|Classic|ac4793a1-3ac6-4e24-82a2-c55a7db88c22|574684ae280f8c040a81f5baa52a5eb9b3fea3cbadc5a5e8e23de9f752e332fe
3543695609864306|08/18|VISA 16 digit|845|Platinum|d75f3a32-b26e-4ea5-a3d2-0d6c4d105cf6|b06715c4b194fb650b0fb8b61076b9aa264c5bd80c039459624a63a03e527769
4147036604999053392|07/28|JCB 16 digit|768|Platinum|cbd6ab27-5b06-47c6-96dd-1332d472db47|198e5ea7105591d5e6042c715ebce7e786a364155094d2237856a8fce81fa346
5340835393487175|07/21|JCB 16 digit|180|Gold|67ebdafd-66fc-4107-aa9d-6517125f9e89|b552f2e0272272d14a4c5d45f39cd31abcdaf236686a72fcd397e7457507e46f
2291914636777191|09/18|Discover|188|Gold|c1af9135-fac4-4f06-a830-1708b843e73c|9f81231c4208cf39a3e2ba2760306a64eba1b0f3c9891f731efd13cf9cf31515
6541188222190593|05/32|Mastercard|596|Platinum|2597c202-b013-4ee6-b1ce-166957a43fb8|8a052528e645ff2df6b75490e9ae0ecaf4a188b95509220f530f0b0af0aa27e3
4670208216433610076|11/32|Discover|239|Classic|b1967687-784a-47f3-a99b-c54b11ad0d4f|f1d2d86cd2d2158f8cc0be8c3a3e8756672d6b3f79f5836846b7b1b1abdfadda
4442345957436329|11/24|VISA 16 digit|469|Gold|4d5645b8-1970-405c-b3d2-990e994358a1|eb5ed244eaac5f2fd8a4d18ccd26df5fc7959bbec851621886c30cb0167ebc44
6011873573040270|08/15|VISA 19 digit|293|Gold|0b4ead36-8691-4c0d-8413-49261364ec85|90c0c92224d4b3af94997fb6559dc2738ab15d63c5107c6880ad74aac4a85543
3507987846062180|03/18|Diners Club / Carte Blanche|404|Platinum|b2d715bf-2021-4524-8cd4-071ed03fc652|6c44ba015903610b9578b51cedc99617ae72710def7a5dd93bf45e2562e0563f
3599434364008989|06/28|JCB 15 digit|776|Classic|b1cf63dc-28df-4701-aedb-30d8d8c0b178|e45aac6c841cf07a93b066a7d1bef87455b22e109c95697ae70968c0c6b49e85
6530444821451024|10/31|VISA 13 digit|078|Classic|d225d492-b890-4e07-940f-86f863a926fb|eab6b7e2533cc04702bbead00759a77fb2b9da46e6ccbf208b785f05580f88fa
630498354269|08/31|Mastercard|814|Gold|ed8aaad6-7ffc-4b5f-a32b-f286087824f9|bc8c904f13dfb94df7d5004a633ce9b886efaf9db3f6adc55d45b399107f9578
30354657044744|06/20|Diners Club / Carte Blanche|771|Platinum|3716b4aa-8d19-4d61-a011-31cb58b47e25|785fc9477e303904441f1d8a83894750ba55cb4ed71c24296cdef88759ae41b3
3594676995959148|10/29|Mastercard|542|Classic|87726e5c-fa60-4714-b094-f03cae126c5f|4564153e785637b632ca3a88a8712cb1ead844edf59b45d938c9c24b26a4a717
4234386230543947|04/23|American Express|529|Platinum|84e81aa6-baca-4c73-8ef8-919116c0e8fc|562dcb1493d97e57eea56aefff87e4fa500e519a492e5d7e1731998e919b4769
3581544564754867|10/29|Maestro|228|Classic|a67b3aa5-d5fe-4eaa-b85b-b1ebac568a4f|8231c8471c40e0e79d97a67c0f620b0e3f92521c7cb2e39effdb6b8c1c4d0608
344879009872484|08/22|Discover|029|Platinum|9c41ce2f-dd74-463b-a8ec-6f378d1a5635|cbef91e7fbcb0f4b29f929756d6bda5a8746abec5538e61e9bf1bd387a4ded58
4419269209160336385|08/15|VISA 13 digit|828|Classic|fe827b43-2261-4728-9db2-a08cecbc5814|31b78f72467360e03d88f77739722c19fa599c57834425dc3ce2afae0696aa26
630416968828|04/30|Discover|603|Platinum|4b4e18d3-a3c1-46dc-8da6-49c87ba0448a|3857894858cef7ddd9ac75fea8c1bfdf067420e3906d6b73611bd2c38f50e9fe
6011926282740372|06/26|JCB 16 digit|7162|Platinum|93a96cde-721d-4c39-8101-815c1a3e0b1d|9ca1dde1c7a68842dd03384bced9122d939a115e1257b399ec6dd08c8842e748
2269879338355679|01/26|Maestro|650|Gold|3dd19d86-6575-430f-8658-35b996078557|d5e5af5226803c2996c776aa38114338f3e3ed90015d78933b8bb795248c5a14
639031428175|08/15|JCB 15 digit|122|Classic|6d86a0dc-c4b9-437e-9f11-92ee15ef16c8|00fdea22ba5493c9c01e6186fd7fd2f0d70493c7057bec8a90bae45b7cdd86e2
5334052325743893|04/27|Mastercard|891|Platinum|236e16cd-f2bc-4b51-ad85-73918475dc3e|2a0d80c819abd5ea20bc982485673823ec4be56828e6baca63b441040d539122
4083190926302523|03/25|Mastercard|159|Gold|7456e369-8431-41e4-bcdc-c6aa29399779|a59f05919ed7f84b866ccc9cc099d888f364d5b31211b9ca38ace321b0b0c447
36297969914142|04/25|Discover|971|Classic|6343d11b-4a97-4c10-ad49-cdcc0e32c456|9978ccd1d322da65f01db1194bf9e9f47da316a02f6e507b85bc455dac1ede85
377125103602561|11/22|American Express|806|Platinum|d357420d-4612-4c68-a5aa-c25dd2813295|4a3074b00a3aac79719c15bd3361a863904b17f4c9aa05192fd6ba1f1aad03f4
345498240884197|07/28|VISA 16 digit|123|Gold|cb5ea466-eae8-4841-9975-a940b85f5574|12529a477291284a8d342cb492cde8ce6c74006c1fd04ad33ccd7e98c232874c
4890959579450620|10/27|Maestro|767|Gold|ed047e60-5bd3-4514-9c06-6b87bc854de7|e6546ac3619a2b7f7f3b9e1e5e0d449e3cddbfa938be17b9570637a200ca6f01
180078062366859|10/22|JCB 16 digit|350|Gold|5eef735f-b988-4b8a-8a67-bf1340f4fc37|2117b455d09bc1627d7df9564264ec0a0810e438b209864ef5f279b712ff781f
4459730502684566|05/29|Diners Club / Carte Blanche|557|Gold|a57bfe18-f7c1-4d0b-a978-4dc6b0a64ee5|c1ec2c03e638bf3ea78955207e3d98a81ed28dc867f2c2101fb9c24199d99d04
675956469125|04/20|VISA 16 digit|917|Classic|634ec5a3-f0b1-4d97-9175-027001fa8806|8b64f31c807e544c13f7ed6f91349ac41e5e6942adc1afeece1464ab61a571f4
180081482586015|04/17|Mastercard|063|Gold|bfe2aad8-653e-4208-a1f2-c7d09d056a5e|39cd5e785b7c58c26b6ee7d5dd9c5e5f4a0fd917b0277166a4a704b6ab0b6b89
3548936670146230|04/30|VISA 19 digit|129|Classic|2457b5d0-7acf-4272-8b10-409ed1251a45|a100c6032718400d75ab0ecb6e5998cb315c91399afd177a345b6b4412f3a4b8
30038561511050|09/18|Maestro|455|Gold|aff052a7-07d4-44fa-be6a-36a9b58f0871|57cf7ade5a884333301be278f3b4f803da0d96ff0356593b59a5bf9bbab4571f
36566224823789|04/32|Discover|095|Platinum|aab813a8-9fb8-4f1a-b240-9e7b9ee4d3fe|e35559ed52a20f3b9accbeee15a8d53ef69bc315d95c0dfd6509c220148bac57
5563637618813601|07/15|VISA 16 digit|371|Classic|9491e3ef-9cf5-4847-9754-0ee8c80529d4|049f0764911b459f550673039e4564cbb4a69c741e468808dd439846e04c5c11
4369509040742|11/16|VISA 16 digit|869|Gold|47ca8f32-815f-46b5-b3f7-9e96f70f030c|21f1d7f0a9bc0497ea2ca6f786056512ed30bf43ca26c97cd8711b7e6b2804f0
572234689816|10/20|Diners Club / Carte Blanche|557|Platinum|e0681619-5d00-4375-8cbb-7ad53438f0d3|f74da9a54bfb16d2ce2dfe9327a52ce20c0a440d13dd9bbda7ce0ec57773aa47
3520611379025017|06/21|Diners Club / Carte Blanche|991|Gold|1ad98a00-ef8b-472c-8ff6-790583dee665|2339423714e39080b60537df1ed3f8f3beb586e5e968d25423a0aaa231fe65a7
3577388142070545|12/16|Diners Club / Carte Blanche|766|Classic|f92a2a10-5e15-4cc1-a696-01a3cb814bb5|17a7bb941cd521231c6c935a362ae3589d7aee4cbbaab94998ade15eaa484637
560096963619|09/31|Maestro|793|Platinum|e3dc5eb8-7b50-4c94-a10c-c7da30cecde9|9137a9b4d03c2aa9b00fe4c570c0ab3a1279c758a969a40bcc2e6d92f77eec9a
30241537144689|11/32|Maestro|435|Platinum|f4e28431-ed08-4331-84b9-6600f378e489|f2e07c3ba484813ec015031f9f2ab605f01332e62e91921a9bfd05198608971d
348170530492588|03/18|Diners Club / Carte Blanche|872|Gold|0a74a04d-3768-47e2-a69a-5442c61c7c5d|93cd8630666c804e2fae936c5bbd7a349a3ae6490e436a8c5345ca8ca7503e55
4309569466897270986|11/21|Diners Club / Carte Blanche|733|Classic|f2094cbc-7401-4fac-a9db-770f52c9e8ec|39a43344fe0bb8228d99003992d79a72dbdf502772b841e33a608d8ff8178b35
4255189947944|03/18|Maestro|983|Platinum|e3b93403-2e5b-4e7c-853b-89debb495037|164f6a40951c8bbc8be060ebf144b0e440b5d73fc2e785019d5bc7f02eb52eb9
6558109669072052|08/29|VISA 16 digit|983|Platinum|c1528c32-4af8-41f2-828c-6b4713c1d35a|25262b6d60d20b41601d5fb6c30ba819474e7e84360bf67606285e87659c1503
378225578223627|12/16|JCB 16 digit|190|Classic|23892d9f-7243-4459-afec-092ff9904b36|aaa351aa52c98412b39c584896fa07da64492acae5add8be411a65d2ab6b92c4
344662285469344|10/25|VISA 16 digit|467|Platinum|be30843d-0e0f-41dc-ac7d-8a921fb24e8e|9973806c92d8e891fe458470d61efe571f45dab7d27bcfccbc064904f7b7671e
3501717919326329|02/20|Diners Club / Carte Blanche|015|Platinum|4bc70f5f-46cc-4768-b4b3-5c697ac14b4d|b1f6ae50673e187f870c88ab57a5135473ec503cb5bc4516b6f5f396e2c7c5f9
4732174972201487|05/31|VISA 19 digit|202|Classic|0d656907-2a3b-4839-9fef-6eea434bb1a9|2f83e8d5deecbd76937ad0c0918f3ac3e5271b17b3cfa82c01b0b8ac2f5639f8
4446857433022836215|09/16|VISA 13 digit|033|Platinum|21c6fa92-93b2-4bef-92c3-7758d3c6dcba|912c800502ac01e89a6156aac2a2fcea2861d1055add2d75e7306276723bc4e0
3554588792765883|02/14|JCB 15 digit|5791|Platinum|d69bd722-ecfe-4979-87ac-afa10549e13e|53da28858e535b2d950d41752cf6acbe771a4f7ee7842492c9b20111871f648e
503898232049|08/21|Diners Club / Carte Blanche|887|Classic|7ef0980a-d366-440f-acdc-8cf9b95e6246|2d92c902671bc8f3d5edb1b5febf6f8a46dcc27e6866d2be9c7f24960c201303
3543944808427550|12/16|Discover|684|Gold|c5bcd4ec-b6a6-46d8-ae56-d6f220e261a6|dfa46bf1dc0ca1d1d7dd6094c9ba706b4ab922d4f5499ae6ed48fb31ddb92ed8
213152975617921|08/26|VISA 16 digit|226|Gold|93933647-d407-45c3-a037-956ace46ae35|36157000b66afeb1af0a4559cecaaf7b69312bd08deb656c63256e2d4bb1350f
4370673661173961|12/22|Diners Club / Carte Blanche|6228|Gold|30d662aa-13ef-466e-a7eb-4fd481b17509|9fee373dc32b8a8510de8e9b6afca7926e8b52887c9b663df9b846e68b0eb492
4389183050569|03/18|Diners Club / Carte Blanche|821|Gold|cd99086a-dc8b-43ed-99c8-f282d5e0c993|fe1f92b95177d0b834389f1716d4d75897a66d16ab71c4fdd392f816df527052
4681447177361363245|02/15|Maestro|183|Classic|e19d0892-0963-4855-b3b3-acba3fe1588e|531d51fa2a566db139988469a424a973956523ef32d87605257f85152fd5bdc3
4188370751135032|12/26|Mastercard|339|Gold|4748f044-8012-42d9-9736-f0c66974a3ea|164da9490c00fd189d5816d1cee3d0b74bd2e49dac611250f89d7dd7bc96241e
38739712721439|04/15|VISA 13 digit|022|Gold|9672e40d-0f9b-4b17-9e33-b4c7fc6520ad|fc2d8faa96fb7d121484a87d51bb928d23fc7cfbb2bfd5797b57ea9867934ff4
4394692343340220|03/17|VISA 16 digit|070|Classic|5a920bd5-0c19-4f6e-ae31-474359f21dba|8ea97139be76a125f78a1bd179332817279c67e7a98d9d691e42b80f44f77258
4674950572477296533|05/24|VISA 16 digit|335|Classic|bb8a40e5-b0fc-4efa-a275-11ab4ae18e26|e2853e05d9ff764cc2031af13c6c3f7f87af3d0882c526df63ff61fc530df6be
2698856909918557|07/15|VISA 13 digit|789|Classic|d34a1c2d-8c85-4fb5-8009-6534436212d8|d3491b0de119eb05f32a759f1a0a42e5727fbfeb6d8c2d338045149ecff7dbdf
6011299917648539|09/15|JCB 16 digit|605|Classic|3d900f33-833b-4280-8b29-310696b7fc98|2b1541dc90066c06c0a419cfa017c8a081dac1f74081952bbb155aa6d5b3ca3b
4956905376819|09/27|Maestro|977|Platinum|331e174a-7f52-471d-8581-3a4225864ba8|5badd681293218b3b4df1d4d9df253bec3f91ece70d97df3df4de8ef1b9dd772
38494240223041|01/14|Mastercard|084|Classic|bd3d955f-91e2-461b-9d0a-ca3f35a5060b|f4e18994c63d70f2ca263cfa1a6eca4730f438584c6875b0d1dfc0ed0d2c15fa
4413214475534624|03/30|Discover|095|Platinum|4c7a0f62-9c5c-468f-aa15-0e326ab993f1|6f8073842b2cb6e8f8508de364a53aa0715dc6717dd2d2e984452f98a86b817b
213106177131776|05/13|Diners Club / Carte Blanche|968|Platinum|b6c0d64f-6704-4c2a-bbe7-46f07f3a827d|dfe256f5cbcecd257a9ecf062b98662a30af7d3bb54bb68520718ee278145eeb
3522679508928078|11/22|Mastercard|523|Gold|cc1a489c-ee89-475b-92f0-2241d672bfb6|2f9d50b5a6b9eca1614f2613fc447670cdfde311ed5b7218c3e9d49dbe1efcf2
180082953975810|07/26|JCB 16 digit|181|Gold|d02dd087-753c-4ea7-9f3c-40eaa92ea944|31c938e35d8163e87bcbaeafeee74cdc1cf2cab6d57856230963f552c3b22e1a
180056828549877|12/14|VISA 19 digit|624|Platinum|553cd254-92ea-4c63-926b-41a5f467e38c|5b3fba872f58b60985502832f1ef3d394439cda648764eacad61ce908162569f
180035826300400|08/13|JCB 16 digit|114|Platinum|8c2bc7f7-3ff0-4022-ae62-55f790fe69d8|208f237443a758087ab0c96d8e0d95dfdd69cb5d6e13ebbf49425b6d43ec8b68
4130209571224|02/24|Diners Club / Carte Blanche|486|Gold|ff9d84e2-c7b6-4618-a0cc-0c13d22b3c24|bd6a47d2e55e95f6d3de03711a6e91de15a7acab450b1d871e8e438e85161d0a
4483232637497303|02/15|JCB 16 digit|810|Gold|da94b74b-8ea1-42a9-b6a2-58377b2b86e9|ffa9dd0c16af94e33fb5d50ea438a7c928e5dbfbb5fa32ac85f3fb8c56d9a1ef
4141570621040136666|03/17|VISA 13 digit|5151|Gold|84a1d118-827a-4c10-ba0f-9c68f16f344c|2db8c56b9b480430fd43171b8e831f07126dd09713eb7b5108bf5918044c9892
213131322914579|11/32|Maestro|6296|Gold|47835e98-a9bc-445b-b593-298115263773|d2d04f0ca211ebabdd84267a59ed049d21a1056e6be98c08a974b2080046888d
4306604106798124188|07/18|VISA 19 digit|456|Gold|4a2b0d96-0c73-4761-8ef0-2df0e57c62a1|ec1a07e0f38445f9cc1237ddcb829dd61df3a9b2ff1fdd7840e8c9ad7ea620db
213126414979068|02/21|VISA 16 digit|883|Platinum|4707014e-053a-4ccc-b4d7-76a626bed88b|f2befb262d83c68665694002e7bb9c79348ebcf51787729ec068c71f2b723763
3561494669438475|09/14|Discover|327|Gold|d5335e35-1312-4dee-b61e-7eb08d7fcb91|73ccf71a356ed37090df425d969875e01e8170f8591eef4ce08a4d4e89eea028
2708230457962714|09/19|JCB 16 digit|895|Gold|3564a5de-3321-4a16-b2f1-e4d7b2a1a245|5e6e423a6a5422adb131b068875c99d6d904a3d389494d0d3ff938d56fbba38e
6011652515703371|07/32|Maestro|363|Platinum|9b07f7c1-f671-4b34-8bfa-ddfd3f6ddbb0|61cb679f8cadf91753e2e55c4841ea7ced5895d165e9b21fbd1048e469f0e6d3
3592156685235721|01/25|JCB 16 digit|142|Classic|16a4721b-2f6d-4159-a6d9-698fe4bbebdd|a0faea49701b84580233b1d8c7963fc7e072e1aed8b37db270bbe2423c68893c
4281756068367230195|02/27|VISA 19 digit|419|Platinum|546f0277-be41-462d-a369-02739b086e59|94fb4f902a0eed241778bcc7cb886f0947179eecfbd20317975674b39020e15e
30216522610217|06/21|JCB 15 digit|356|Platinum|505a0354-6e9a-4f6d-84b5-865d152b42a5|d39503aea6c1f1a3bc774f2c921cffdb21ec80019e3211e5c7c1eeb2024855bb
4357809023891426665|12/29|American Express|622|Classic|6d9d24b0-0120-4180-a675-ab30e210c622|246b5acde6144d1801355fcb3e63822ccc3b52557c66c17d3526ca1cfd6f7420
180043865289930|09/15|Maestro|734|Gold|6fdfb33a-5219-40fa-b569-4f223b2821be|ea55203c36f2d2d0b623353a3589d9773da2bcac65d5160c51f57bdf3c1774df
30160482303696|02/29|Diners Club / Carte Blanche|621|Gold|1e595c30-d3c4-431d-9975-280dead90266|3651fcf81d2c3872cb7a5eac9259f45c1b173f284122f94da1672d4641e2729f
2719676830684473|04/32|VISA 13 digit|381|Classic|162f74fb-b214-4323-906b-4e6f654beef0|36c5cb3e608dc0aa5ea9725ebe11dfe266708eed108c0df820e173b7ae9777ac
348686323790292|01/18|VISA 16 digit|711|Gold|c98679e2-a929-43e6-bdd9-67edb4d3a981|395380759852c346707c2706c9f173194366051bf9b571f431f65aa1651c2187
4055543064331|10/14|Diners Club / Carte Blanche|312|Classic|cda2b7cd-aefb-4a62-b80e-72b450906183|10cd92a8edfd40bb4c5df3d3fbe2ad0d7849d2bc419495238275dcfb05764bef
6011875152481122|09/25|JCB 15 digit|002|Classic|5cf798bb-c9f5-421b-8186-179123d34e89|f034972d15a1ac142130603da905141dc3b95a81b2efce5c6b2215d54c533b6b
3504973965972444|06/32|VISA 19 digit|568|Classic|347414fa-99d8-4d0a-9fbd-63d24712ebca|85a7906d89206e1741370fcac4fb4300b1ec1fca1ce48bbbd579b62475d045c6
180002755392915|08/21|Diners Club / Carte Blanche|621|Gold|9c5cfdb0-83f8-4a45-aa7b-33a7726bdf10|f4a10577026993d9c705b94bc2a5f69454c93ced841928bbe825cc3d578cb61b
30074659987175|02/32|VISA 19 digit|684|Gold|725169d8-7640-462f-b112-552ea834d339|026e457b435491b30d61403c17dbb01a2329f7f7f63048c42bb6957e71de5d47
3586893956704740|11/17|JCB 16 digit|577|Classic|07556f54-33c1-49ee-8d7b-111d075945f3|8aea10dfc05c06c438401e09f78226cb36227f2fd07e7cfd06ba6fbfe900d9e3
4739167016204148|12/24|JCB 16 digit|2004|Gold|4fca7f48-ffb8-48df-8e85-7ff57b90999e|5c1a0a0f2d55c72aae8cb153f8724ba8cce9dd64479868416931a24f4654a332
6545175373648319|02/28|JCB 16 digit|319|Gold|7774987c-70b4-4a3b-b812-5de08e372df4|83774b7d27b1b59fe6eb62d56ee2998d00bd58baed69a9e43c7ad9c33f2b2f8c
180025855873518|02/20|Discover|660|Platinum|40711440-6e6f-4ad6-8ed1-33837dcf2e45|819b336d4961be76206c2e9dba010514d5747d9c416bf58fc99d7c18476ad6c0
502086580680|06/13|VISA 16 digit|329|Gold|297c717c-6583-4f15-9f84-89f30f2bd62d|a5ea07cf67cf8975f25e8b4746e4f0444bccbeb67ae048b5e65aab33f94b58e3
4686045852667585353|05/20|Maestro|810|Classic|b5ece29f-74e5-4c54-8ac7-30f7ad48d15b|f789b210c30ca2501ecc5086186acc99e82e7c02025a6e0686dbb307388814fd
213168585628694|07/27|JCB 16 digit|688|Platinum|e30a38b8-669f-4d64-8f71-9587071d3157|f940f120ad1daf47d7d481f7c9569b9d6879d21ed6bf30fa0df49be41b272e3a
3542153320356633|01/24|JCB 16 digit|237|Gold|de011498-bb6b-4820-a6a0-4c518c73aace|e7ddf82bdb85ec072165019ee520d6696ce315dc262ddab5209013ac3d3fb022
6011670799786094|05/31|JCB 16 digit|683|Classic|e72ecfe1-517e-49e1-9cf7-cf63619c9c36|f690a0fc99c2f97c91ca24484d2421449f43ddc479168c2fb355ef261b542c2d
213122321526688|11/13|JCB 16 digit|7936|Gold|ce954dde-0930-4aac-9db9-a1d07c0baea4|8a6da59eefc6ecad966cce2a784df79643c67059d8822dcb5b625ae9f27010d9
3588456682525876|03/24|VISA 16 digit|788|Platinum|2d7f3d8e-c6a4-4964-a9c1-d7c8f8b2e0ff|b68cb6c469efd65805d2a585e1d7411690a042fdad0a185076a8adab20354592
6587271864870634|02/19|JCB 16 digit|037|Classic|1e506fd3-7a65-4d48-9130-d56551e5a068|8e000addeb78d5e749c9dc359bce85fc61c5626caa3ec737c74ceb588b7f8a89
2265381167410943|10/14|VISA 13 digit|062|Platinum|2e418159-6e36-49db-b310-acf589b1010c|5f0810b097ff43b9fc58e7d0008da1ce82cdf5882ae2bde129e62c690ff673ef
4705717906291|01/19|Maestro|722|Classic|8c7df7be-5960-4473-a050-3b237b14bb00|2df37101fa2263ae50a064ecd777a23e26ebc601fd9f094cff1e541732f965cc
501896541064|01/17|JCB 16 digit|381|Platinum|617c61db-bf95-4bc5-b020-716245f0d600|caae08844f28c2eb079d23810a7d8d29240a434dd87947169c8e1d51925c6ebd
340224180916921|07/28|Maestro|848|Gold|f999e59c-02ab-4e38-a183-1a7fa89ca532|b17b79509413c2f41e2f41d6be9a781002fffe2f64fb4a8523a9ef5fb5ed3680
370295999824178|03/25|VISA 13 digit|839|Gold|b000f03a-62f6-4869-9a75-d2f2105fafd1|bdb1c6868756b81549a21637366a00520a61da7e02ec62b4803784927a67cf5e
376363696935228|09/13|American Express|287|Classic|93f81812-2a7a-4e09-96ce-9482a8e1e307|603aa7bb9ee80d6b7066d7f1e7c8fe9212a88fa1f6257a103cb15db15d84b3cd
180018497738645|06/30|Discover|2216|Platinum|856470b8-fe24-47bf-92bc-3df02ab82a7d|23a64d084db6c9bcea3ff812b7f738a63fc80761cd4661c095d757ba6f4a2321
3518800830887354|09/16|Discover|775|Platinum|0ab0e330-cab1-40b9-8ee6-671bfc1e08d0|d1d7c1c75c15c94ddc9ef58a09ce4c4c877d41faf31ed448570596ddb5b3695d
180014369631745|10/18|VISA 13 digit|214|Gold|0b72b2f3-0e8c-4f9c-a66c-c3840de4ad96|9f1c377913a2ffac892abd3b8dd50038999d9efede1544570156009baaf95099
4790782881795291888|09/19|Discover|103|Platinum|35f6137e-c4aa-437f-93d5-c6f84e4d20fa|f68a4af0adc82a7971e3bd3eff284115d7b6afca1068921551c8836f843f92fe
639042153598|04/28|JCB 16 digit|654|Gold|b76b3fe5-fe2a-4e12-a9ab-03c50db1b9a1|34ebe6809afb85405adb4bff55913a58a085c2f44f0eea3114fd296d7dc3e758
